Nome;Indirizzo;Città;Nazione;Prezzo;Fascia Di Prezzo;Tipo di Cucina;Longitude;Latitude;PrenotazioneOnline;Delivery;WebsiteUrl;Award;Servizi
Steirereck im Stadtpark;Am Heumarkt 2a, Vienna, 1030, Austria;Vienna; Austria;€€€€;100;Creative, Contemporary;16.3815669;48.2043967;SI;SI;https://www.steirereck.at/;3 Stars;Air conditioning,Garden or park,Interesting wine list,Terrace,Wheelchair access
Amador;Grinzinger Straße 86, Vienna, 1190, Austria;Vienna; Austria;€€€€;100;Creative, Contemporary;16.3586534;48.2539745;NO;NO;https://www.restaurant-amador.com/;3 Stars;Air conditioning,Interesting wine list,Terrace
Jungsik New York;2 Harrison St., New York, 10013, USA;New York; USA;$$$$;100;Korean, Contemporary;-74.0091114;40.7187256;SI;SI;https://www.jungsik.com/;3 Stars;Air conditioning,Interesting wine list,Wheelchair access
Per Se;10 Columbus Circle, New York, 10019, USA;New York; USA;$$$$;100;Contemporary, French;-73.9825882;40.7680545;NO;SI;https://www.thomaskeller.com/perseny;3 Stars;Air conditioning,Great view,Interesting wine list,Restaurant offering vegetarian menus,Wheelchair access
Le Bernardin;155 W. 51st St., New York, 10019, USA;New York; USA;$$$$;100;Seafood;-73.98223;40.76177;NO;SI;https://www.le-bernardin.com/;3 Stars;Air conditioning,Interesting wine list,Wheelchair access
Eleven Madison Park;11 Madison Ave., New York, 10010, USA;New York; USA;$$$$;100;Vegan, Innovative;-73.9872414;40.7415543;NO;SI;https://www.elevenmadisonpark.com/;3 Stars;Air conditioning,Interesting wine list,Restaurant offering vegetarian menus,Wheelchair access
Masa;10 Columbus Circle, New York, 10019, USA;New York; USA;$$$$;100;Japanese, Sushi;-73.98234;40.76819;SI;SI;https://www.masanyc.com/;3 Stars;Air conditioning,Counter dining,Interesting wine list,Notable sake list,Wheelchair access
The Inn at Little Washington;309 Middle St., Washington, 22747, USA;Washington; USA;$$$$;100;American, French;-78.1595348;38.7134767;NO;SI;https://www.theinnatlittlewashington.com/;3 Stars;Air conditioning,Interesting wine list,Restaurant offering vegetarian menus,Valet parking
Smyth;177 N. Ada St., Chicago, 60607, USA;Chicago; USA;$$$$;100;Contemporary, Creative;-87.6606324;41.8850485;NO;NO;https://www.smythandtheloyalist.com/;3 Stars;Air conditioning,Interesting wine list,Valet parking,Wheelchair access
Alinea;1723 N. Halsted St., Chicago, 60614, USA;Chicago; USA;$$$$;100;Creative, Modern Cuisine;-87.648174;41.9132737;SI;SI;https://www.alinearestaurant.com/;3 Stars;Air conditioning,Interesting wine list,Terrace,Valet parking,Wheelchair access
Sorn;56 Soi Sukhumvit 26, Khlong Tan, Khlong Toei, Bangkok, 10110, Thailand;Bangkok; Thailand;฿฿฿฿;100;Southern Thai;100.5684937;13.7231336;SI;SI;https://www.sornfinesouthern.com;3 Stars;Air conditioning,Car park,Interesting wine list
